Database Name,WebHook Name
Id,lead.id
AnnualRevenue,company.Annual Revenue
AnonymousIP,lead.AnonymousIP
Company,company.Company Name
Email,lead.Email Address
Country,lead.Country
Department,lead.Department
DoNotCall,lead.Do Not Call
DoNotCallReason,lead.Do Not Call Reason
Industry,lead.Industry
InferredCompany,lead.Inferred Company
InferredCountry,lead.Inferred Country
LeadRole,lead.Lead Role
LeadScore,lead.Lead Score
LeadSource,lead.Lead Source
LeadStatus,lead.Lead Status
Marketo Jigsaw Company Status,lead.Marketo Jigsaw Company Status
Marketo Jigsaw Contact Status,lead.Marketo Jigsaw Contact Status
MarketoSocialFacebookReach,lead.Marketo Social Facebook Reach
MarketoSocialFacebookReferredEnrollments,lead.Marketo Social Facebook Referred Enrollments
MarketoSocialFacebookReferredVisits,lead.Marketo Social Facebook Referred Visits
MarketoSocialLinkedInReach,lead.Marketo Social LinkedIn Reach
MarketoSocialLinkedInReferredEnrollments,lead.Marketo Social LinkedIn Referred Enrollments
MarketoSocialLinkedInReferredVisits,lead.Marketo Social LinkedIn Referred Visits
MarketoSocialTotalReferredEnrollments,lead.Marketo Social Total Referred Enrollments
MarketoSocialTotalReferredVisits,lead.Marketo Social Total Referred Visits
MarketoSocialTwitterReach,lead.Marketo Social Twitter Reach
MarketoSocialTwitterReferredEnrollments,lead.Marketo Social Twitter Referred Enrollments
MarketoSocialTwitterReferredVisits,lead.Marketo Social Twitter Referred Visits
MarketoSocialYahooReach,lead.Marketo Social Yahoo Reach
MarketoSocialYahooReferredEnrollments,lead.Marketo Social Yahoo Referred Enrollments
MarketoSocialYahooReferredVisits,lead.Marketo Social Yahoo Referred Visits
NumberOfEmployees,company.Num Employees
SAP_CRM_Person_Type,lead.SAP_CRM_Person_Type
SAP_CRM_Qualification,lead.SAP_CRM_Qualification
SICCode,lead.SIC Code (L)
Title,lead.Job Title
Unsubscribed,lead.Unsubscribed
UnsubscribedReason,lead.Unsubscribed Reason
Website,company.Website